Company Name,Source LEI,Extracted LEI,Match,Processing Time (s),Search URL,Error
MADJIK LIMITED,894500ZQR075WQ6ANN31,894500ZQR075WQ6ANN31,Match,4.387586199969519,https://search.gleif.org/#/search/simpleSearch=MADJIK+LIMITED&perPage=200,
CALDERWOOD WEALTH MANAGEMENT LIMITED,9845009DFBA2D58E5964,9845009DFBA2D58E5964,Match,6.123120199947152,https://search.gleif.org/#/search/simpleSearch=CALDERWOOD+WEALTH+MANAGEMENT+LIMITED&perPage=200,
GRUNDY & CO. EXCAVATIONS LIMITED,213800DG9FGSHJ32EG26,213800DG9FGSHJ32EG26,Match,6.283845499972813,https://search.gleif.org/#/search/simpleSearch=GRUNDY+%26+CO.+EXCAVATIONS+LIMITED&perPage=200,
NIGHTVISION BIDCO LIMITED,2549007IBWBQC6WAEN12,2549007IBWBQC6WAEN12,Match,6.698468899994623,https://search.gleif.org/#/search/simpleSearch=NIGHTVISION+BIDCO+LIMITED&perPage=200,
DORIS TECHNOLOGIES LTD,9845001A3CFAEFBB8746,9845001A3CFAEFBB8746,Match,4.576733099995181,https://search.gleif.org/#/search/simpleSearch=DORIS+TECHNOLOGIES+LTD&perPage=200,
MORRINSON WEALTH MANAGEMENT LLP,984500F98012EAW89E22,984500F98012EAW89E22,Match,4.538875999976881,https://search.gleif.org/#/search/simpleSearch=MORRINSON+WEALTH+MANAGEMENT+LLP&perPage=200,
The Patricia Forder Deceased Will Trust,98450086DBEC3AB0A022,98450086DBEC3AB0A022,Match,5.222067800001241,https://search.gleif.org/#/search/simpleSearch=The+Patricia+Forder+Deceased+Will+Trust&perPage=200,
A.F.MONK(ROOKLEY)LIMITED,213800CAM6ZYTLZFMS84,213800CAM6ZYTLZFMS84,Match,5.6885117999627255,https://search.gleif.org/#/search/simpleSearch=A.F.MONK%28ROOKLEY%29LIMITED&perPage=200,
JP PRIVATE CLIENTS 2019 LLP,9845003E690C65976086,9845003E690C65976086,Match,4.717311699991114,https://search.gleif.org/#/search/simpleSearch=JP+PRIVATE+CLIENTS+2019+LLP&perPage=200,
SHC Technology LTD,8755007YAZFSOI5VIL66,8755007YAZFSOI5VIL66,Match,4.153948499995749,https://search.gleif.org/#/search/simpleSearch=SHC+Technology+LTD&perPage=200,
THE ANDREW TIDSWELL 2018 DISCRETIONARY SETTLEMENT,213800JAR9TUCVZ9O702,213800JAR9TUCVZ9O702,Match,4.555540399975143,https://search.gleif.org/#/search/simpleSearch=THE+ANDREW+TIDSWELL+2018+DISCRETIONARY+SETTLEMENT&perPage=200,
NAMECO (NO. 1296) LIMITED,213800DJYL7HRLHELH67,213800DJYL7HRLHELH67,Match,3.9838425000198185,https://search.gleif.org/#/search/simpleSearch=NAMECO+%28NO.+1296%29+LIMITED&perPage=200,
"NIBLETT WILL TRUST, EDWARD",213800UNCNDXGALDMK45,213800UNCNDXGALDMK45,Match,5.511435299995355,https://search.gleif.org/#/search/simpleSearch=NIBLETT+WILL+TRUST%2C+EDWARD&perPage=200,
BOAG ENGLAND FINANCIAL PLANNING LLP,984500A4F6ZF00F55406,984500A4F6ZF00F55406,Match,3.911955899966415,https://search.gleif.org/#/search/simpleSearch=BOAG+ENGLAND+FINANCIAL+PLANNING+LLP&perPage=200,
BEARMONKEY CONSULTING LIMITED,984500C7441C1B636F14,984500C7441C1B636F14,Match,3.7881225000019185,https://search.gleif.org/#/search/simpleSearch=BEARMONKEY+CONSULTING+LIMITED&perPage=200,
BARCLAY LIMITED,98450083FU58A8EA9958,98450083FU58A8EA9958,Match,4.498770400008652,https://search.gleif.org/#/search/simpleSearch=BARCLAY+LIMITED&perPage=200,
LF ABRDN INVESTMENT FUND,213800B2X9HU7MGVHO42,213800B2X9HU7MGVHO42,Match,4.189621799974702,https://search.gleif.org/#/search/simpleSearch=LF+ABRDN+INVESTMENT+FUND&perPage=200,
DRLM INVESTMENTS LIMITED,213800GD59T7MV258161,213800GD59T7MV258161,Match,4.018353799998295,https://search.gleif.org/#/search/simpleSearch=DRLM+INVESTMENTS+LIMITED&perPage=200,
FAST WORLD MEDIA LIMITED,9845007455CCE6C0F572,9845007455CCE6C0F572,Match,3.2644087000517175,https://search.gleif.org/#/search/simpleSearch=FAST+WORLD+MEDIA+LIMITED&perPage=200,
ACCOLADE FOODS LIMITED,984500DAF37569E4A773,984500DAF37569E4A773,Match,4.757326700026169,https://search.gleif.org/#/search/simpleSearch=ACCOLADE+FOODS+LIMITED&perPage=200,
GRAPHCORE LIMITED,2138005VYMBO7MVKSF89,2138005VYMBO7MVKSF89,Match,3.910430899995845,https://search.gleif.org/#/search/simpleSearch=GRAPHCORE+LIMITED&perPage=200,
BERKELEY CHARTERHOUSE LIMITED,9845007D3D436B58E018,9845007D3D436B58E018,Match,4.367322199977934,https://search.gleif.org/#/search/simpleSearch=BERKELEY+CHARTERHOUSE+LIMITED&perPage=200,
